"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"G***,G***,G***,G***,G***,G***,G***,G***";"pick_contour_1.7mm";8;"LOGO";;;
2;"G***";"tuna_fish_back1_L_54.2x27.1mm";1;"LOGO";;;
3;"G***";"tuna_fish_back3_L_19x9.5mm";1;"LOGO";;;
4;"BOARD1";"Board_Teensy_3_1";1;"BOARD_TEENSY_3.1";;;
5;"BT1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Battery";;;
6;"C1";"C_0805";1;"C";;;
7;"C2,C3,C6,C8";"C_0805";4;"2.2uF";;;
8;"C4,C5,C7";"C_0805";3;"0.1uF";;;
9;"Ct1";"C_0805";1;"0.15uF";;;
10;"Ferrite1";"L_0805";1;"600";;;
11;"IC1";"SOT-23";1;"AP7313-33SAG-7";;;
12;"J1";"Barrel_Jack_CUI_PJ-102AH";1;"Barrel_Jack";;;
13;"JMP1,JMP2";"Miscellaneous_Solder_Jumper";2;"2Jumper";;;
14;"R1,R2,R3,R4,R5,R6,R7";"R_0805";7;"R";;;
15;"R8,R9";"R_0805";2;"2.2K";;;
16;"R10";"R_0805";1;"10M";;;
17;"RV1,RV2,RV3";"Potentiometer_Alps_RK09K_Horizontal";3;"POT_TRIM";;;
18;"SW1,SW2,SW3";"SW_PUSH_6mm_h5mm";3;"SW_Push";;;
19;"U2";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"SGTL5000";;;
20;"U3";"TO-220-3_Horizontal";1;"L7805";;;
21;"Input1,Output1";"CONN_Jack_Female_6.35mm_THD";2;"JACK_FEMALE_STEREO_6_PINS";;;
22;"SW4";"IceStomp_Switch_3PDT";1;"SW_TPDT";;;
23;"J2,J3,J5";"Pin_Header_Straight_1x02_Pitch2.54mm";3;"Conn_01x02";;;
24;"J4";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Conn_01x04";;;
25;"G***";"logo_guitar_52.6.5x18.4mm";1;"LOGO";;;
26;"G***";"logo_pick_10x10mm";1;"LOGO";;;
27;"G***";"tuna_fish_logo_21.7x21.7mm";1;"LOGO";;;
28;"G***";"tuna_fish_back1_L_25x12.5mm";1;"LOGO";;;
29;"G***";"tuna_fish_back2_R_16.4x16.4mm";1;"LOGO";;;
30;"G***";"tuna_fish_back3_R_15.5x7.7mm";1;"LOGO";;;
31;"G***";"tuna_fish_back1_L_8.1x4.1mm";1;"LOGO";;;
32;"G***";"tuna_fish_back3_R_8.1x8.1mm";1;"LOGO";;;
33;"G***";"tuna_fish_logo_10.8x10.8mm";1;"LOGO";;;
34;"G***,G***";"pick_contour_3mm";2;"LOGO";;;
35;"G***,G***";"pick_contour_3.4mm";2;"LOGO";;;
36;"G***,G***,G***";"pick_contour_2.7mm";3;"LOGO";;;
37;"G***,G***";"pick_contour_2.2mm";2;"LOGO";;;
38;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM358";;;
39;"LED1,LED2,LED3";"LED_D3.0mm";3;"LED";;;
